名称,英文名,评分,评论数,图片 URL
上海迪士尼度假区,Shanghai Disney Resort,4.7,243729,https://dimg04.c-ctrip.com/images/1lo2p12000gj5gxxn05A7_C_320_320.jpg
上海野生动物园,Shanghai Wild Animal Park,4.7,103504,https://dimg04.c-ctrip.com/images/0101f12000acizecb31EF_C_320_320.jpg
上海海昌海洋公园,Shanghai Haichang Ocean Park,4.5,41081,https://dimg04.c-ctrip.com/images/1lo0f12000ggbt9yc5834_C_320_320.png
上海博物馆,Shanghai Museum,4.7,4164,https://dimg04.c-ctrip.com/images/0103x1200042pw7745DC1_C_320_320.jpg
外滩,The Bund,4.8,152323,https://dimg04.c-ctrip.com/images/10040m000000dht6p0F19_C_320_320.jpg
东方明珠,Oriental Pearl Radio & Television Tower,4.7,149939,https://dimg04.c-ctrip.com/images/010691200097uy8rk36FE_C_320_320.jpg
豫园,Yu Garden,4.7,47219,https://dimg04.c-ctrip.com/images/0103v12000f9ug057967E_C_320_320.jpg
南京路步行街,Nanjing Road Pedestrian Street,4.7,43648,https://dimg04.c-ctrip.com/images/0106u120008c3zeiy8417_C_320_320.jpg
上海海洋水族馆,Shanghai Ocean Aquarium,4.6,43546,https://dimg04.c-ctrip.com/images/tg/357/014/064/84e04a5ad7774a59a5f88b5864499a1b_C_320_320.jpg
上海科技馆,Shanghai Science and Technology Museum,4.7,33146,https://dimg04.c-ctrip.com/images/0105g1200087d6lidB450_C_320_320.jpg
迪士尼小镇,Disney Town,4.8,24463,https://dimg04.c-ctrip.com/images/100v0z000000nmk4q9783_C_320_320.jpg
上海欢乐谷,Shanghai Happy Valley,4.7,24310,https://dimg04.c-ctrip.com/images/1lo4g12000azkw5ig3875_C_320_320.jpg
上海薰衣草公园,Shanghai Lavender Park,4.7,18977,https://dimg04.c-ctrip.com/images/1lo6712000azkkjdcD5AE_C_320_320.jpg
上海环球金融中心,Shanghai World Financial Center,4.7,18068,https://dimg04.c-ctrip.com/images/0100j120008tw8io4017B_C_320_320.jpg
迪士尼朋友见面处,Meet Minnie Mouse And Friends At Mickey Avenue,4.8,15208,https://dimg04.c-ctrip.com/images/0103y120008fy96t6EDA2_C_320_320.jpg
上海动物园,Shanghai Zoo,4.7,14947,https://dimg04.c-ctrip.com/images/0102y120009j4hethC8A2_C_320_320.jpg
红皇后御花园,Red Queen Imperial Garden,4.8,14097,https://dimg04.c-ctrip.com/images/01062120009o7oxsuF3A2_C_320_320.jpg
陆家嘴中心绿地,Lujiazui Central Greenland,4.7,12891,https://dimg04.c-ctrip.com/images/01A0f120008omdcauCEFD_C_320_320.jpg
威尼斯小镇,Venice Town,4.7,12737,https://dimg04.c-ctrip.com/images/100s0z000000ns8d36D9B_C_320_320.jpg
上海杜莎夫人蜡像馆,Madame Tussauds Shanghai,4.5,13098,https://dimg04.c-ctrip.com/images/1lo6y12000dmrix531CB7_C_320_320.jpg
上海之巅观光厅,Top of Shanghai Observatory,4.6,12807,https://dimg04.c-ctrip.com/images/10070d0000006wasz1009_C_320_320.jpg
上海玛雅海滩水公园,Shanghai Playa Maya Water Park,4.6,12502,https://dimg04.c-ctrip.com/images/01027120008ntdg0wEA56_C_320_320.jpg
世纪公园,Century Park,4.8,10847,https://dimg04.c-ctrip.com/images/100q12000000rozj9E4F5_C_320_320.jpg
黄浦江游览(十六铺码头),Huangpu River Cruise(Shiliupu Pier),4.6,11031,https://dimg04.c-ctrip.com/images/35091e000001ey01xBB09_C_320_320.jpg
人民广场,People's Square,4.7,10091,https://dimg04.c-ctrip.com/images/100h1f000001gruggD1C5_C_320_320.jpg
上海自然博物馆,Shanghai Natural History Museum,4.8,8734,https://dimg04.c-ctrip.com/images/1A0i11000000qe9tl9638_C_320_320.jpg
城隍庙旅游区,The City Temple of Shanghai,4.7,8502,https://dimg04.c-ctrip.com/images/100l1f000001gqi1p4B80_C_320_320.jpg
上海长风海洋世界,Shanghai Chang Feng Ocean World,4.3,7587,https://dimg04.c-ctrip.com/images/100813000000tyjewCFB5_C_320_320.jpg
金茂大厦,Jin Mao Tower,4.7,6825,https://dimg04.c-ctrip.com/images/010691200083ix667DB18_C_320_320.jpg
上海影视乐园,Shanghai Film Park,4.3,7136,https://dimg04.c-ctrip.com/images/1lo2012000e144ux27244_C_320_320.jpg
磁浮列车,Shanghai Maglev Train,4.8,6137,https://dimg04.c-ctrip.com/images/10051f000001gstmz0A34_C_320_320.jpg
顾村公园,Gucun Park,4.6,6192,https://dimg04.c-ctrip.com/images/100n0z000000ni777D3EE_C_320_320.jpg
广富林文化遗址,Guangfulin Relics Park,4.6,5804,https://dimg04.c-ctrip.com/images/10040t000000inke79FDC_C_320_320.jpg
上海中心大厦,Shanghai Tower,4.5,5440,https://dimg04.c-ctrip.com/images/0102t12000855umt4AC27_C_320_320.jpg
锦江乐园,Jinjiang Action Park,4.4,5543,https://dimg04.c-ctrip.com/images/10071f000001h6wlz30A3_C_320_320.jpg
上海天文馆,Shanghai Astronomy Museum,4.9,4823,https://dimg04.c-ctrip.com/images/01069120009ze52fdA92D_C_320_320.jpg
上海汽车博物馆,Shanghai Auto Museum,4.7,4967,https://dimg04.c-ctrip.com/images/10090r000000hffju9A06_C_320_320.jpg
中国航海博物馆,China Maritime Museum,4.7,4756,https://dimg04.c-ctrip.com/images/100o0q000000gaboj9A75_C_320_320.jpg
上海辰山植物园,Chenshan Botanical Garden,4.7,4488,https://dimg04.c-ctrip.com/images/100k0z000000nnd294B27_C_320_320.jpg
东平国家森林公园,Dongping National Forest Park,4.5,4675,https://dimg04.c-ctrip.com/images/0106y1200095xa3v1AFCB_C_320_320.jpg
东方绿舟景区,Oriental Land,4.6,4210,https://dimg04.c-ctrip.com/images/1lo2p12000dr3346m6FC0_C_320_320.png
陆家嘴,Lujiazui,0.0,0,https://dimg04.c-ctrip.com/images/100n10000000of5vp7913_C_320_320.jpg
碧海金沙,Blue Sea Sand,4.4,3768,https://dimg04.c-ctrip.com/images/100g1f000001gqwyzBFCB_C_320_320.jpg
上海海湾国家森林公园,Shanghai Haiwan National Forest Park,4.4,3469,https://dimg04.c-ctrip.com/images/0102h12000fathns65549_C_320_320.jpg
黄浦江,Huangpu River,4.7,3000,https://dimg04.c-ctrip.com/images/10021f000001gxcdwB7C4_C_320_320.jpg
金茂大厦88层观光厅,Jinmao Tower Observation Deck,4.6,3057,https://dimg04.c-ctrip.com/images/0103312000855vz89ED31_C_320_320.jpg
朱家角古镇景区,Zhujiajiao Ancient Town,4.5,3092,https://dimg04.c-ctrip.com/images/0104a1200086ob7pyFA26_C_320_320.jpg
上海大观园,Shanghai Grand View Garden,4.6,3018,https://dimg04.c-ctrip.com/images/1lo7212000dpymylh0B47_C_320_320.jpg
上海大自然野生昆虫馆,Shanghai Natural Wild Insect Kingdom,4.4,2954,https://dimg04.c-ctrip.com/images/0101w120009ci3w0q4DF0_C_320_320.jpg
上海乐高探索中心,LEGOLAND Discovery Center,4.5,2828,https://dimg04.c-ctrip.com/images/0101s120008ptxurqFC6C_C_320_320.jpg
蓝精灵乐园-上海世茂精灵之城主题乐园,Dream City,4.5,2658,https://dimg04.c-ctrip.com/images/100o1f000001gp24t45D7_C_320_320.jpg
外滩观光隧道,Bund Sightseeing Tunnel,3.9,3003,https://dimg04.c-ctrip.com/images/100w0m000000dlzn45F4B_C_320_320.jpg
上海电影博物馆,Shanghai Film Museum,4.7,2487,https://dimg04.c-ctrip.com/images/0100n120009gifbh2A59F_C_320_320.jpg
上海共青森林公园,Shanghai Gongqing Forest Park,4.7,2312,https://dimg04.c-ctrip.com/images/1lo4n12000dkturut528C_C_320_320.jpg
田子坊,Tianzifang,4.5,2323,https://dimg04.c-ctrip.com/images/100e1f000001gt1ey32DA_C_320_320.jpg
上海大世界,Shanghai Great World,4.3,2055,https://dimg04.c-ctrip.com/images/35051a000001909h0E13D_C_320_320.jpg
上海城隍庙道观,The City Temple of Shanghai,4.6,1883,https://dimg04.c-ctrip.com/images/0106x12000fe389h1BD51_C_320_320.jpg
深坑秘境乐园-上海世茂精灵之城主题乐园,Wonderland Area,3.9,2133,https://dimg04.c-ctrip.com/images/350815000000y3krp45F1_C_320_320.jpg
花开海上生态园,Huakai Haishang Ecological Park,4.6,1773,https://dimg04.c-ctrip.com/images/01020120009x99nkn693F_C_320_320.jpg
东滩湿地公园,Dongtan Wetland Park,4.2,1931,https://dimg04.c-ctrip.com/images/100t1h000001hlkx4C8E7_C_320_320.jpg
安徒生童话乐园,Andersen Paradise,4.1,1955,https://dimg04.c-ctrip.com/images/0102812000a394t3uA3B2_C_320_320.jpg
外白渡桥,Garden Bridge,4.7,1700,https://dimg04.c-ctrip.com/images/100f1f000001gqbop5073_C_320_320.jpg
金山城市沙滩,Jinshan City Beach,4.3,1844,https://dimg04.c-ctrip.com/images/0102h120008if2v6dC637_C_320_320.jpg
新天地,Xintiandi,4.7,1565,https://dimg04.c-ctrip.com/images/100j11000000qb56w9951_C_320_320.jpg
上海千古情,Shanghai Romance Park,4.6,1595,https://dimg04.c-ctrip.com/images/1lo2w12000ecmbddr8152_C_320_320.jpg
上海奇迹花园,Pujiang Jiaoye Gongyuan Qiji Garden,4.4,1654,https://dimg04.c-ctrip.com/images/1lo5812000dhzo0k075C9_C_320_320.jpg
枫泾古镇,Fengjing Ancient Town,4.3,1611,https://dimg04.c-ctrip.com/images/10021f000001gxcsa66B7_C_320_320.jpg
上海玻璃博物馆,Shanghai Museum of Glass,4.3,1483,https://dimg04.c-ctrip.com/images/1lo2n12000c7r0ni34361_C_320_320.jpg
上海观复博物馆,Shanghai Guanfu Museum,4.7,1339,https://dimg04.c-ctrip.com/images/100g0c00000066x8z1DA7_C_320_320.jpg
都市观光巴士,City Sightseeing Tour Bus,4.2,1457,https://dimg04.c-ctrip.com/images/1lo5612000fmjjzz932B4_C_320_320.jpg
周浦花海,Zhoupu Sea of Flowers,4.3,1407,https://dimg04.c-ctrip.com/images/01045120009e3yp7f3982_C_320_320.jpg
“快乐船长”黄浦江游船,"""Happy Captain"" Huangpu River Dinner Cruise",4.3,1341,https://dimg04.c-ctrip.com/images/1lo0o12000c7koao94188_C_320_320.jpg
上海老街(人民路),Shanghai Old Street,4.7,1222,https://dimg04.c-ctrip.com/images/0103k120008c4lc665714_C_320_320.jpg
静安寺,Jingan Temple,4.6,1198,https://dimg04.c-ctrip.com/images/100b1f000001gsojgF8E4_C_320_320.jpg
古猗园,Guyi Garden,4.6,1178,https://dimg04.c-ctrip.com/images/100g1f000001gr0b880FB_C_320_320.jpg
浦东美术馆,Museum of Art Pudong,4.6,1114,https://dimg04.c-ctrip.com/images/01008120008tqhsplAAB5_C_320_320.jpg
浦江郊野公园,Pujiang Country Park,4.4,1115,https://dimg04.c-ctrip.com/images/0100612000f76nx0z27BD_C_320_320.jpg
七宝老街,Qibao Old Street,4.4,1059,https://dimg04.c-ctrip.com/images/10051f000001gstoc00B8_C_320_320.jpg
东林寺,Donglin Temple,4.7,981,https://dimg04.c-ctrip.com/images/1A0p1a0000018yzig2063_C_320_320.jpg
上海琉璃艺术博物馆,Liuli China Museum,4.5,965,https://dimg04.c-ctrip.com/images/350w1b000001aaixh271B_C_320_320.jpg
上海植物园,Shanghai Botanical Garden,4.5,953,https://dimg04.c-ctrip.com/images/1A0i1f000001gaghj3379_C_320_320.jpg
淮海路,Huaihai Road,4.6,917,https://dimg04.c-ctrip.com/images/10051f000001gsqet6A9C_C_320_320.jpg
西沙明珠湖景区,Xisha Mingzhu Lake Park,4.6,909,https://dimg04.c-ctrip.com/images/100u1f000001gq6ugBB02_C_320_320.jpg
泰晤士小镇,Thames Town,4.5,889,https://dimg04.c-ctrip.com/images/100c1f000001gsyucD378_C_320_320.jpg
SKY RING 屋顶摩天轮,SKY RING Roof Ferris Wheel,4.3,927,https://dimg04.c-ctrip.com/images/0105l120009xrg8sh7387_C_320_320.jpg
苏州河,Suzhou Creek,4.7,815,https://dimg04.c-ctrip.com/images/10051f000001gssqv8B10_C_320_320.jpg
外滩万国建筑博览群,Bund International Architecture Exhibition,4.8,791,https://dimg04.c-ctrip.com/images/fd/tg/g2/M07/8A/FB/Cghzf1Ww2y6AIG2mABTkcdef0e4223_C_320_320.jpg
中华艺术宫,China Art Museum,4.6,825,https://dimg04.c-ctrip.com/images/fd/tg/g1/M08/C8/F7/CghzflWww1GATHPPABnveZ3DOw0100_C_320_320.jpg
马勒别墅,Moller Villa,4.6,819,https://dimg04.c-ctrip.com/images/100j0r000000gp6kmCB9B_C_320_320.jpg
长风公园,Changfeng Park,4.6,803,https://dimg04.c-ctrip.com/images/fd/tg/g1/M00/54/94/CghzflSzY4OAK25tAEaRpcmN28c726_C_320_320.jpg
南翔古镇,Nanxiang Ancient Town,4.4,799,https://dimg04.c-ctrip.com/images/100t0q000000gbia09BB1_C_320_320.jpg
上海犹太难民纪念馆,Shanghai Jewish Refugees Museum,0.0,0,https://dimg04.c-ctrip.com/images/0104p120008cu2drw1517_C_320_320.jpg
鲁迅公园,Lu Xun Park,4.5,723,https://dimg04.c-ctrip.com/images/1me4j12000cncraip5CC8_C_320_320.jpg
徐家汇天主教堂,St. Ignatius Cathedral,4.5,685,https://dimg04.c-ctrip.com/images/100r1c000001ds3cpD2AF_C_320_320.jpg
震旦博物馆,Aurora Museum,4.7,638,https://dimg04.c-ctrip.com/images/0102x12000b95brei35D9_C_320_320.jpg
上海马戏城,Shanghai Circus World,4.6,649,https://dimg04.c-ctrip.com/images/0104f12000endt5ckCF86_C_320_320.jpg
上海外滩美术馆,Rockbund Art Museum,4.7,632,https://dimg04.c-ctrip.com/images/10091f000001gsnwn7FE0_C_320_320.jpg
1933老场坊,1933 Old Millfun,4.6,644,https://dimg04.c-ctrip.com/images/100s1f000001gx5dl1B24_C_320_320.jpg
上海邮政博物馆,Shanghai Postal Museum,4.7,629,https://dimg04.c-ctrip.com/images/100d0d0000006rjrpAFDF_C_320_320.jpg
武康路,Wukang Road,4.7,623,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0A/62/01/CghzfVW4coKACZtBABZsADuV5Jw675_C_320_320.jpg
醉白池,Zuibaichi Park,4.6,611,https://dimg04.c-ctrip.com/images/0100m12000gb1k3ukEC01_C_320_320.jpg
时空缆车,Time Cable Car,4.5,619,https://dimg04.c-ctrip.com/images/01033120009bwuwg7D908_C_320_320.jpg
BUS TOUR 上海观光游,Shanghai Bus Tour,4.3,638,https://dimg04.c-ctrip.com/images/1lo2v12000bpbq8f893D0_C_320_320.jpg
世博会博物馆,World Expo Museum,4.6,596,https://dimg04.c-ctrip.com/images/100b1b000001aafcbAFBF_C_320_320.jpg
中国共产党第一次全国代表大会会址,The site of the first CPC National Congress,0.0,0,https://dimg04.c-ctrip.com/images/1lo0b12000bcucrzv7221_C_320_320.jpg
浦江游览,The Huangpu River Cruise,4.5,602,https://dimg04.c-ctrip.com/images/01062120008gr2i6h24AF_C_320_320.jpg
上海佘山国家森林公园,Sheshan National Forest Park,4.6,570,https://dimg04.c-ctrip.com/images/10091f000001gson937D3_C_320_320.jpg
思南公馆,Sinan Mansions,4.7,545,https://dimg04.c-ctrip.com/images/100f10000000osmdxA2DA_C_320_320.jpg
思南路,Sinan Road,4.7,532,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/6E/F2/CghzgVW4bcaAPwp6ACR8lvJGlOg865_C_320_320.jpg
汤连得温泉馆（118店）,Tangland Hot Spring (Putuo),4.6,531,https://dimg04.c-ctrip.com/images/350r1a0000019gl1p1D47_C_320_320.jpg
滴水湖,Dishui Lake,4.5,542,https://dimg04.c-ctrip.com/images/0104s120008aolm6q4AF9_C_320_320.jpg
东方明珠259米全透明悬空观光廊,Oriental Pearl Transparent Observatory,4.7,504,https://dimg04.c-ctrip.com/images/100i1f000001gp5389235_C_320_320.jpg
新场古镇,Xinchang Ancient Town,4.4,533,https://dimg04.c-ctrip.com/images/100f1d000001enruc9D7D_C_320_320.jpg
比斯特上海购物村,Shanghai Village,4.7,477,https://dimg04.c-ctrip.com/images/0101w12000fhlt1sd9363_C_320_320.jpg
武康大楼,Wukang Building,4.7,471,https://dimg04.c-ctrip.com/images/100l1f000001gqflzF98B_C_320_320.jpg
国家会展中心(上海),National Exhibition and Convention Center（Shanghai）,4.6,476,https://dimg04.c-ctrip.com/images/01042120008c4fhso6D60_C_320_320.jpg
上海世博园,Shanghai Expo Park,0.0,0,https://dimg04.c-ctrip.com/images/0104h1200083k5dpf2E7F_C_320_320.jpg
黄浦江游览（东方明珠码头）,Huangpu River Cruise(Oriental Pearl Tower Cruise Terminal),4.2,504,https://dimg04.c-ctrip.com/images/1lo5v12000cwpgg9s7A43_C_320_320.jpg
龙华寺,LongHua Si,4.6,448,https://dimg04.c-ctrip.com/images/fd/tg/g2/M05/8D/83/CghzgVWxBqmAJKzWAARZ0hCffQg055_C_320_320.jpg
上海市历史博物馆,Shanghai History Museum,0.0,0,https://dimg04.c-ctrip.com/images/1lo1x12000c4pj4y6F084_C_320_320.jpg
季高兔窝窝亲子园,JEGOPLAY TOO Family Park,4.4,467,https://dimg04.c-ctrip.com/images/100p1g000001hipfvB58F_C_320_320.jpg
“龙船”黄浦江游船,Huangpu River Dragon Boat Night Cruise,4.5,427,https://dimg04.c-ctrip.com/images/0105i120008ectz1512F7_C_320_320.jpg
上海城市历史发展陈列馆,Shanghai Urban History And Development Museum,0.0,0,https://dimg04.c-ctrip.com/images/100413000000tzg3u12C2_C_320_320.jpg
七个小矮人矿山车,Seven Dwarfs Mine Train,4.7,372,https://dimg04.c-ctrip.com/images/100s0t000000ivq3dF1C2_C_320_320.jpg
上海四行仓库抗战纪念馆,Shanghai Sihang Warehouse Battle Memorial,0.0,0,https://dimg04.c-ctrip.com/images/01073120008ibw1u3405F_C_320_320.jpg
1192弄老上海风情街(世纪汇广场店),1192 Nong Laoshanghai Fengqing Street,4.6,367,https://dimg04.c-ctrip.com/images/1A0g1c000001dzeln4C7E_C_320_320.jpg
上海宋庆龄故居纪念馆,Soong Ching Ling Memorial Residence In Shanghai,0.0,0,https://dimg04.c-ctrip.com/images/1A061g000001gyy2t7614_C_320_320.jpg
梅赛德斯-奔驰文化中心,Mercedes-Benz Arena,4.6,356,https://dimg04.c-ctrip.com/images/1002080000002yy224757_C_320_320.jpg
黄浦江游览（金陵东路码头）,The Huangpu River Cruise (Jinling East Road Pier),4.7,345,https://dimg04.c-ctrip.com/images/0103x120008ecwvp49082_C_320_320.jpg
《虎鲸传奇》,Killer Whale Science Popularization,4.7,343,https://dimg04.c-ctrip.com/images/100v1f000001h1b2w3A53_C_320_320.jpg
七宝古镇,Qibao Ancient Town,4.4,349,https://dimg04.c-ctrip.com/images/10060z000000njtcq4DF3_C_320_320.jpg
太阳岛旅游度假区,Sun Island,4.4,340,https://dimg04.c-ctrip.com/images/0101x120009v6y49xC00E_C_320_320.jpg
上海星空艺术馆,Shanghaixingkong Art Museum,4.2,341,https://dimg04.c-ctrip.com/images/01071120009dwsosfACA8_C_320_320.jpg
上海儿童博物馆,Shanghai Children's Museum,4.6,303,https://dimg04.c-ctrip.com/images/100i0c0000006om3uDA6D_C_320_320.jpg
上海当代艺术博物馆,Power Station of Art,4.5,299,https://dimg04.c-ctrip.com/images/0105d12000861aooj47B7_C_320_320.jpg
ERA-时空之旅,"""ERA Intersection of Time"" Performance",4.7,284,https://dimg04.c-ctrip.com/images/01025120008xrfrryD031_C_320_320.jpg
永康路,Yongkang Road,4.9,273,https://dimg04.c-ctrip.com/images/100k1f000001gui6v7146_C_320_320.jpg
【上海】《金字塔之巅：古埃及文明大展》展览,On Top of the Pyramid: The Civilization of Ancient Egypt,4.5,286,https://dimg04.c-ctrip.com/images/0102b12000eismru9FCA5_C_320_320.png
梦幻世界(上海迪士尼乐园店),Fantasyland,4.7,255,https://dimg04.c-ctrip.com/images/100a0j000000ayu44CDD7_C_320_320.jpg
小猪佩奇的玩趣世界,Xiaozhupeiqi De Wanqu World,4.3,217,https://dimg04.c-ctrip.com/images/350v1b000001bh4q7C0C5_C_320_320.jpg
远望1号,,4.7,190,https://dimg04.c-ctrip.com/images/0104f120008nw1rqn34C6_C_320_320.jpg
申城观光双层巴士,Shanghai Sightseeing Double-decker Bus,4.3,186,https://dimg04.c-ctrip.com/images/0104f120004ifyfgq809B_C_320_320.jpg
上海梵高星空艺术馆,Shanghai Fangao Xingkong Art Museum,4.1,188,https://dimg04.c-ctrip.com/images/1lo6812000ekmekly08A2_C_320_320.jpg
和平饭店博物馆,Jazz Bar at Fairmont Peace Hotel,4.7,161,https://dimg04.c-ctrip.com/images/0104d120008c4fho0D136_C_320_320.jpg
安福路,Anfu Road,4.7,154,https://dimg04.c-ctrip.com/images/1A091800000159evl2D51_C_320_320.jpg
《不眠之夜》,Sleep No More,4.6,151,https://dimg04.c-ctrip.com/images/100l10000000oseml5D7C_C_320_320.jpg
上海佛罗伦萨小镇,Florentia Village Shanghai,4.6,143,https://dimg04.c-ctrip.com/images/0101z12000a2ju8jj7D98_C_320_320.jpg
交通银行耀雪冰雪世界,Shanghai L+SNOW Indoor Skiing Theme Resort,4.2,156,https://dimg04.c-ctrip.com/images/1lo0b12000ey2b4ze19E1_C_320_320.jpg
【上海】何以敦煌上海艺术展,The Great Art of Dunhuang Exhibition,4.6,125,https://dimg04.c-ctrip.com/images/1lo5712000f0f7chhA1F7_C_320_320.jpg
上海世博展览馆,Shanghai World Expo Exhibition and Convention Center,4.5,127,https://dimg04.c-ctrip.com/images/0103312000bbdw3s3FC74_C_320_320.jpg
古镇泗泾,Sijing Ancient Town,4.1,132,https://dimg04.c-ctrip.com/images/0100u1200086y8mt00E33_C_320_320.jpg
